Image name,Human annotated emotion,Full caption,Minus interactions,Minus environments
02lk53bcfgyk89o8fl_1.jpg,Disconnection,Sophia is a female adult. Sophia is or has resting one side of face on hand. Sophia's physical environment is reading a book on a bench in a park.,Sophia is a female adult. Sophia is or has resting one side of face on hand. Sophia's physical environment is reading a book on a bench in a park.,Sophia is a female adult. Sophia is or has resting one side of face on hand.
15otkllw3vfozbg0ba_2.jpg,Confusion,"Sean is a Male Child. Sean is or has Curling lip, Flat expression. Beth is also a child and Sean's older sister and she is kissing Sean.","Sean is a Male Child. Sean is or has Curling lip, Flat expression.","Sean is a Male Child. Sean is or has Curling lip, Flat expression. Beth is also a child and Sean's older sister and she is kissing Sean."
1b56wk6z7tispb2iyb_3.jpg,Fear,Wendy is a Female Adult. Ronald is another woman's partner and he is hugging his partner while holding hands with Wendy behind her back. Wendy's physical environment is in a park.,Wendy is a Female Adult. Wendy's physical environment is in a park.,Wendy is a Female Adult. Ronald is another woman's partner and he is hugging his partner while holding hands with Wendy behind her back.
2g89p8dl2wdbumz3ca_2.jpg,Fatigue,"Lucas is a male adult. Lucas is or has naked body, closed eyes, lying flat. Beth is Lucas' partner and she sleeping with Lucas. Lucas's physical environment is in a bed.","Lucas is a male adult. Lucas is or has naked body, closed eyes, lying flat. Lucas's physical environment is in a bed.","Lucas is a male adult. Lucas is or has naked body, closed eyes, lying flat. Beth is Lucas' partner and she sleeping with Lucas."
2xv0pus6da0j85ix7q_4.jpg,Disconnection,"Sean is a Male Child. Sean is or has Bent spine, Shoulders slumping or curling forward. Karl is also a child and he is sitting next to Sean and putting his hand around Sean's and Alec's shoulder. Alec is also a child and he is sitting next to Karl putting his hand around Karl's and Marie's shoulder. Marie is also a child and he is sitting next to Alec putting his hand around Alec's shoulder. Sean's physical environment is by a beach.","Sean is a Male Child. Sean is or has Bent spine, Shoulders slumping or curling forward. Sean's physical environment is by a beach.","Sean is a Male Child. Sean is or has Bent spine, Shoulders slumping or curling forward. Karl is also a child and he is sitting next to Sean and putting his hand around Sean's and Alec's shoulder. Alec is also a child and he is sitting next to Karl putting his hand around Karl's and Marie's shoulder. Marie is also a child and he is sitting next to Alec putting his hand around Alec's shoulder."
2z88pjp5ihmc4w3vpr_2.jpg,Sadness,"Jane is a Female Adult. Jane is or has Hunched shoulders, Bent spine. Beth is also an adult and she is comforting Jane.","Jane is a Female Adult. Jane is or has Hunched shoulders, Bent spine.","Jane is a Female Adult. Jane is or has Hunched shoulders, Bent spine. Beth is also an adult and she is comforting Jane."
3jrq0k5xmvsl03z6qp_1.jpg,Disquietment,"Greg is a Male Adult. Greg is or has Frowning, Staring down at the ground, Slouching and leaning on objects. Greg's physical environment is on a street.","Greg is a Male Adult. Greg is or has Frowning, Staring down at the ground, Slouching and leaning on objects. Greg's physical environment is on a street.","Greg is a Male Adult. Greg is or has Frowning, Staring down at the ground, Slouching and leaning on objects."
3k5qhpalr6avlkst3k_3.jpg,Disconnection,"Jane is a Female Adult. Jane is or has Gaze clouding, going distant, Empty stare, Sitting, Keeping one's back to a wall. Karl is a doctor and pushing a hospital bed. Alec is a nurse and pushing a hospital bed with Alec. Jane's physical environment is in a hospital hallway.","Jane is a Female Adult. Jane is or has Gaze clouding, going distant, Empty stare, Sitting, Keeping one's back to a wall. Jane's physical environment is in a hospital hallway.","Jane is a Female Adult. Jane is or has Gaze clouding, going distant, Empty stare, Sitting, Keeping one's back to a wall. Karl is a doctor and pushing a hospital bed. Alec is a nurse and pushing a hospital bed with Alec."
3l5i5ty5owzri6mad3_2.jpg,Annoyance,"Lucas is a Male Adult. Lucas is or has Sitting, Looking down. Beth is also an adult and she is a seat away from Lucas reading a magazine. Lucas's physical environment is in a waiting room.","Lucas is a Male Adult. Lucas is or has Sitting, Looking down. Lucas's physical environment is in a waiting room.","Lucas is a Male Adult. Lucas is or has Sitting, Looking down. Beth is also an adult and she is a seat away from Lucas reading a magazine."
3qzmulxy5l4qwdqww3_1.jpg,Sadness,"Wendy is a Female Adult. Wendy is or has Glassy stare, Frowning, Chin dipping down, Sitting. Wendy's physical environment is in a room with a phone on the table.","Wendy is a Female Adult. Wendy is or has Glassy stare, Frowning, Chin dipping down, Sitting. Wendy's physical environment is in a room with a phone on the table.","Wendy is a Female Adult. Wendy is or has Glassy stare, Frowning, Chin dipping down, Sitting."
3r6c23j6ae846zsmtr_3.jpg,Annoyance,"Sophia is a Female Adult. Sophia is or has Raising one's eyebrows, Staring off into the distance, High chin, Sitting. Beth is also an adult and she is sitting next to Sophia. Sophia's physical environment is in a waiting room.","Sophia is a Female Adult. Sophia is or has Raising one's eyebrows, Staring off into the distance, High chin, Sitting. Sophia's physical environment is in a waiting room.","Sophia is a Female Adult. Sophia is or has Raising one's eyebrows, Staring off into the distance, High chin, Sitting. Beth is also an adult and she is sitting next to Sophia."
3s2kiwato0vxkcfhoy_1.jpg,Annoyance,"Wendy is a Female Adult. Wendy is or has Sitting. Wendy's physical environment is on a bench in a street, dressed up and looking at her watch.","Wendy is a Female Adult. Wendy is or has Sitting. Wendy's physical environment is on a bench in a street, dressed up and looking at her watch.",Wendy is a Female Adult. Wendy is or has Sitting.
3w36yswr9nkp000uq8_3.jpg,Disconnection,"Terry is a Male Adult. Terry is a(n) Professional. Terry is or has Staring down at the ground, Bent spine, Hunched shoulders, Shoulders slumping or curling forward, Sitting. Mia is similar age is Terry and also wearing a business suit and she is sitting next to Terry not engaging with him. Beth is similar age is Terry and also wearing a business suit and she is sitting next to Terry and looking away. Terry's physical environment is in an office.","Terry is a Male Adult. Terry is a(n) Professional. Terry is or has Staring down at the ground, Bent spine, Hunched shoulders, Shoulders slumping or curling forward, Sitting. Terry's physical environment is in an office.","Terry is a Male Adult. Terry is a(n) Professional. Terry is or has Staring down at the ground, Bent spine, Hunched shoulders, Shoulders slumping or curling forward, Sitting. Mia is similar age is Terry and also wearing a business suit and she is sitting next to Terry not engaging with him. Beth is similar age is Terry and also wearing a business suit and she is sitting next to Terry and looking away."
3wj2x6ifpqruktlzo3_1.jpg,Disquietment,"Chloe is a Female Adult. Chloe is or has Looking down, Flat expression, Tilting head downward, Leaning head on hand. Chloe's physical environment is in a restaurant.","Chloe is a Female Adult. Chloe is or has Looking down, Flat expression, Tilting head downward, Leaning head on hand. Chloe's physical environment is in a restaurant.","Chloe is a Female Adult. Chloe is or has Looking down, Flat expression, Tilting head downward, Leaning head on hand."
3x1k1kzbymvk8xu5o1_1.jpg,Sadness,"Jane is a Female Adult. Jane is or has Looking down, Shoulders slumping or curling forward, Resting chin on hand. Jane's physical environment is in a room with a cellphone on the table.","Jane is a Female Adult. Jane is or has Looking down, Shoulders slumping or curling forward, Resting chin on hand. Jane's physical environment is in a room with a cellphone on the table.","Jane is a Female Adult. Jane is or has Looking down, Shoulders slumping or curling forward, Resting chin on hand."
3yov006j3mbflkl8rk_2.jpg,Disconnection,"Chloe is a Female Adult. Chloe is or has Looking up, Tilting one's head to the side, Resting one side of face on hand, Leaning forward, Hunched shoulders. Chloe's physical environment is in a room with empty chairs.","Chloe is a Female Adult. Chloe is or has Looking up, Tilting one's head to the side, Resting one side of face on hand, Leaning forward, Hunched shoulders. Chloe's physical environment is in a room with empty chairs.","Chloe is a Female Adult. Chloe is or has Looking up, Tilting one's head to the side, Resting one side of face on hand, Leaning forward, Hunched shoulders."
